epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.088,2.04769,2.36024,0.00262,0.53301,0.47844,0.46398,0.25038,1.91799,1.49912,0.00314,0.00055498,0.00055498,0.00055498
2,371.208,1.99142,1.62909,0.00247,0.56218,0.50153,0.49715,0.26501,1.9288,1.39963,0.00319,0.00108866,0.00108866,0.00108866
3,600.919,1.97155,1.47683,0.00243,0.60285,0.51681,0.53451,0.29304,1.86839,1.34256,0.00307,0.00160033,0.00160033,0.00160033
4,835.55,1.959,1.41183,0.0024,0.64417,0.52916,0.56186,0.29716,1.92953,1.26879,0.00321,0.00156798,0.00156798,0.00156798
5,1215.1,1.94789,1.36901,0.00235,0.64664,0.53442,0.56862,0.30904,1.86379,1.26777,0.00303,0.00153497,0.00153497,0.00153497
6,1628.58,1.95405,1.35364,0.00234,0.6515,0.54263,0.5735,0.30885,1.87703,1.26089,0.0031,0.00150197,0.00150197,0.00150197
7,1883.95,1.91926,1.31539,0.00231,0.66956,0.54605,0.58842,0.32465,1.85404,1.2219,0.003,0.00146896,0.00146896,0.00146896
